,xpos,ypos,zpos,bz[nT],by[nT],bx[nT],pdyn[nPa]
13112,13.64739551,2.530996463,-4.746993675,0.190469,2.059999943,0.709999979,0.665695
11326,11.20101586,-3.300935182,-2.124113408,-1.39485,0.970000029,-2.829999924,1.07737
3159,2.654872329,7.111967453,9.34844255,-0.618431,5.300000191,-2.799999952,2.86943
8596,11.33404442,3.181249913,-3.602408218,-0.366875,0.239999995,1.649999976,1.22717
14969,6.71341541,-12.27346634,-0.482992635,-0.058,3.539999962,-2.5,1.15
9684,11.52561874,5.545207812,-2.163555531,1.16799,1.159999967,-2.410000086,1.67779
9392,2.819176021,-12.8791092,2.183865951,-0.631898,-6.329999924,-4.659999847,1.86513
3603,-5.437025255,17.63677354,-4.111326144,-2.95245,-5.96999979,3.069999933,3.7579
13220,9.243342345,-3.293494237,-1.734521491,-1.80608,-2.970000029,1.610000014,2.56016
5411,3.699983346,-11.27003042,-3.710006715,-2.4375,1.889999986,-3.380000114,2.6216
4862,3.726138251,2.061330317,-9.988576556,1.01513,2.920000076,0.660000026,2.38246
4681,3.364626608,3.222731656,-11.95438499,3.57129,-5.340000153,4.46999979,2.69207
8335,-14.24691981,-22.36458287,6.2235131,0.83,2.980000019,1.450000048,1.31947
7474,3.047978153,-4.116969064,10.61550984,3.75,-0.610000014,4.789999962,2.55421
10744,9.977277668,3.108835113,0.866926912,2.0212,-0.639999986,-2.809999943,2.3857
5801,9.349972383,-3.999985878,-0.869997504,-2.21883,-4.210000038,-2.410000086,2.37263
3946,6.86090955,0.304876963,8.157001398,-1.74388,9999.990234,9999.990234,2.18906
14067,6.910457418,4.244980665,-3.385200553,8.56985,-0.400000006,1.850000024,6.01632
12331,6.092847487,9.720481349,-1.026535849,-2.1996,-3.420000076,-2,2.05789
3164,4.213269797,5.573510634,11.08823483,-1.84178,8.600000381,0.699999988,1.99379
3990,2.216279635,-3.922437614,-11.67595019,7.81205,-4.150000095,1.879999995,3.27625
7795,-10.52552966,-17.30694709,-3.308491816,-0.9,-2.859999895,4.809999943,2.54211
4868,3.655651099,-1.243473973,-10.21804631,2.95694,1.74000001,-2.210000038,1.90409
12306,6.101876272,10.54615682,-0.837023703,1.093,-0.720000029,3.930000067,2.35762
9260,10.00640025,-5.483970478,-2.241581028,1.338,3.579999924,-1.230000019,2.22495
11616,-3.567211008,-18.68696785,0.005785777,0.593938,-2.349999905,-1.679999948,1.79879
5836,11.23995514,-1.648591275,-0.339999042,-2.26306,-4.71999979,1.74000001,1.50105
8357,-11.5325733,-20.89697317,-6.690011335,3.31,1.679999948,-2.859999895,1.98526
9717,7.782610382,9.247958499,-2.436214118,0.1505,-10.31000042,0.159999996,1.69474
13986,11.74735846,4.598489557,-3.976466113,-0.228403,6.610000134,-6.199999809,1.49703
11515,9.098930051,-5.329543554,-2.317759477,2.3695,0.579999983,0.879999995,2.02884
5523,-1.589926706,15.73004545,4.880014098,-3.77,-2.420000076,-0.519999981,2.98879
7012,4.807497036,-2.842998193,10.05297138,-2.97,-4.650000095,2.279999971,2.46947
8813,10.31163761,-0.162730117,-2.611767801,-2.84357,2.660000086,-4.78000021,2.53888
7954,-4.544476697,18.89545619,-2.807483367,4.22,-4.039999962,5.519999981,2.99
13051,7.605544739,-2.666843553,-1.065137844,5.24679,-0.730000019,2.109999895,5.08333
4562,-6.40299766,15.7512411,-9.255857916,1.2121,-1.690000057,5.570000172,4.66679
14803,8.43565702,7.883212901,-3.388290762,3.3095,-0.050000001,3.109999895,1.80353
14045,11.72621416,3.180754043,-4.994367846,-0.307032,0.949999988,4.019999981,0.798947
10886,11.35914248,2.856982204,-2.57627351,2.144,-0.479999989,2.680000067,1.20811
8468,-1.057977966,-16.31818591,0.853399879,-0.42,-10.21000004,4.150000095,3.09895
10698,6.341963055,5.495183151,0.162562309,3.0028,-0.280000001,-2.150000095,10.7132
3346,2.242560001,-10.01218419,7.068679693,-2.00091,5.800000191,-4.800000191,2.10045
7124,-13.82753265,-8.623439215,19.72599437,0.48,-2.220000029,3.890000105,1.70684
3397,0.368329919,-13.25715928,7.388710263,0.290589,11.39999962,-3.599999905,1.31841
7228,-9.732092433,16.59998214,12.34903281,1.2,-2.470000029,7.039999962,2.85684
14677,7.018010748,9.251844815,-4.739482083,-0.808225,3.00999999,-2.069999933,2.11718
14409,-9.659808415,23.35487986,-3.003602982,-1.2485,-2.680000067,-0.680000007,0.968421
9570,-1.375874759,-14.41278838,1.58948541,2.97649,0.49000001,-2.680000067,2.93068
11405,10.95340779,2.615719771,-3.348554861,-0.385824,-4.809999943,2.099999905,1.74786
5903,3.559992896,-9.909985618,-4.549997432,-3.10867,-2.5,-0.129999995,3.11739
7783,-14.21144729,-14.62102541,15.03299278,-2.7,-0.189999998,-4.139999866,2.65105
14827,8.828857556,8.730049673,-3.764990998,0.841072,-0.589999974,-7.079999924,1.81325
12360,8.809051182,10.19315775,-3.337764623,0.2192,4.579999924,2.130000114,1.31996
8146,3.938008741,-11.82601768,-8.35801689,2.77,-3.829999924,5.210000038,2.29395
13281,11.73497822,2.932788705,-4.269203261,-0.685751,6.489999771,-0.319999993,1.03307
13268,12.52251379,2.20339713,-4.525682628,0.776842,-4.949999809,1.080000043,0.786842
3496,-6.776390761,-17.74455584,-1.940456478,-2.71435,-3.50999999,-0.409999996,1.71895
4529,-2.536695001,6.535843795,-14.57841939,3.14648,-6.440000057,4.329999924,3.28195
4744,0.697355902,15.87984666,-0.164258393,-1.86918,0.949999988,3.079999924,2.45816
8232,-5.474934277,-21.62700591,-7.481492371,-0.75,-2.980000019,2.339999914,0.665789
13239,10.38454585,3.015983441,-4.554127097,-0.698671,-4.599999905,1.049999952,2.07485
3581,-6.016815954,15.83436217,-8.33908895,6.47888,3.289999962,-1.419999957,3.66789
7894,-7.631404275,19.68404956,9.569007402,3.41,3.369999886,2.589999914,2.20316
14640,-4.541350054,20.73800835,-0.747799534,1.4755,0.829999983,-3.5,1.33158
5017,-1.986480387,-4.417826968,-12.24911911,11.5131,-4.489999771,4.809999943,2.63051
5650,-7.02005711,-17.45000236,-4.5400029,-0.441792,-2.839999914,5.110000134,1.67053
4218,-5.274336105,-12.46546569,-10.73611128,0.509765,-12.32999992,3.190000057,1.99694
12922,8.404828376,-1.327449645,-1.818159672,-6.74779,1,1.360000014,5.32285
9062,10.68129698,-2.57755729,-2.685021153,-0.202952,-1.690000057,2.119999886,2.33731
7097,-7.625926133,-17.8050442,-0.214000098,-1.61,0.460000008,5.019999981,2.09421
7997,3.938515732,-2.176011588,10.86045809,-3.19,1.269999981,5.860000134,2.00947
7288,-9.890933888,21.82803356,3.451491664,-1.61,-5.539999962,2.700000048,2.49368
