,xpos,ypos,zpos,bz[nT],by[nT],bx[nT],pdyn[nPa]
5882,-14.22195666,-14.60902109,15.05998467,-1.57,0.150000006,8.569999695,2.05789
3161,-7.906744928,-15.70669359,-5.472044118,-2.28294,0,-5,1.40065
8275,8.435529043,4.471223926,-3.36829072,2.5292,-1.269999981,-4.190000057,3.74785
3802,3.769978405,-12.20995969,0.109999567,2.97477,-1.419999957,4.71999979,2.92458
3359,3.766757368,2.283239076,-10.93122383,0.830818,3.599999905,-3.599999905,1.17065
4537,-5.380056579,-12.38000948,-1.509998608,-6.12343,4.980000019,-2.549999952,5.86803
11834,11.02448961,1.117854309,-2.904689261,1.15513,0.980000019,-2.569999933,2.00955
9470,11.56537006,3.034434488,-3.493749997,0.569606,-5.059999943,7.300000191,1.30382
1544,-0.652704415,-15.56718752,3.577490385,-1.40846,3.200000048,4.400000095,1.84115
9373,11.26580322,2.806474004,-4.664818366,-1.39133,-1.00999999,2.549999952,1.98264
11223,11.69275089,-1.864205961,-2.71001926,-0.394334,3.680000067,-0.74000001,1.06255
5879,-13.95392076,-14.84151849,14.44898074,-1.11,-3.029999971,-2.109999895,2.61474
11796,12.41846843,4.475873599,-3.106270807,2.012,0.620000005,-2.25,1.22445
12648,5.231848761,12.14238033,-2.801479323,-1.273,0.400000006,-4.010000229,1.05195
1121,-9.906930205,-15.98898778,4.498096003,3.79956,4.5,2,3.53579
1311,4.740860905,4.300902176,9.298452884,2.53428,0.400000006,1.600000024,5.87257
3664,5.229960767,11.10001452,-4.739993137,-1.07267,-3.470000029,3.099999905,1.97417
7262,11.44718145,-4.429486807,-1.929972382,-1.54465,-0.270000011,0.02,0.981669
7074,8.217378309,5.543899941,-2.635899767,-4.33921,-0.879999995,4.170000076,4.08798
3832,9.980032682,2.028903088,1.460005761,0.8805,-2.109999895,-5.420000076,3.07918
4842,-9.152502654,10.80351329,12.55100017,0.68,3.819999933,-5.809999943,3.29263
8352,8.861535123,-3.989428647,-1.860578664,-1.61666,1.799999952,0.100000001,3.15067
7506,-0.839793606,-14.31609038,2.508829449,-0.865344,-4.130000114,4.389999866,2.38374
1738,0.354568638,8.74214405,-12.79607362,1.64363,0.200000003,-1.100000024,2.02314
12987,8.305540839,5.489326895,-3.110362301,4.24713,-0.74000001,2.279999971,2.59125
12326,11.98363075,1.559285563,-3.791250428,-0.738593,-1.889999986,4.110000134,1.25658
9791,-6.061547506,-17.94131926,-3.447732066,-3.53358,-0.059999999,-3.289999962,2.69155
3844,9.779980217,3.889995986,1.519993933,0.648953,4.510000229,6.320000172,3.01421
3231,-5.119843814,9.658796562,-14.17939441,0.0152375,-2.900000095,3.700000048,2.76922
7076,8.178666229,5.54090137,-2.630902688,-7.2,4.349999905,-3,4.43355
3567,-4.259967379,16.36999598,4.9499934,1.896,-1.200000048,2.839999914,4.93411
336,-50.73679335,31.5891333,12.87810286,4.449999809,-0.349999994,2.450000048,1.350000024
6346,-3.302033561,-18.47699308,-5.503006176,-2.31,-2.869999886,2.640000105,0.677895
2305,-2.38814531,-18.06382693,-2.847746404,-2.32239,-0.699999988,6.099999905,1.85466
3046,6.988714087,-5.101410364,4.32043718,-1.52456,0.899999976,-2.900000095,3.86697
3427,5.866860552,11.20001505,2.750001247,-1.578,3.900000095,0.219999999,2.90768
10788,12.76882652,2.162291136,-1.766221007,3.4896,-0.349999994,-3.690000057,1.6928
4230,8.760002402,4.614746558,0.060000054,0.174875,2.779999971,-4.340000153,3.60737
3000,2.29713032,1.350594411,-10.54388032,-3.86009,0.5,-2.400000095,2.57562
8296,12.13450097,-1.854347916,-3.271362779,-0.447578,9999.990234,9999.990234,1.40308
7875,10.49081753,1.749238614,-2.820943703,0.159,3.480000019,0.079999998,2.4728
9477,8.423885907,-4.324279628,-1.811693694,-0.85432,-0.330000013,0.289999992,4.20615
12622,-1.913320206,15.96393635,3.251159004,-1.44,-1.279999971,-2.200000048,2.02961
8567,-5.874493335,-18.23704442,0.921771569,1.6634,1.710000038,2.769999981,2.01128
7644,2.188846345,-11.72118454,2.076693399,2.52455,-5.349999905,4.260000229,4.33368
9991,-2.019876632,-16.53798453,-0.027472479,-2.67058,1.399999976,2.859999895,2.89316
11841,10.35415699,7.401684225,-3.284759002,1.09212,0.639999986,-3.519999981,1.25895
11522,12.66699588,0.181109846,-3.797410925,-0.668,-1.440000057,2.25999999,0.641579
12306,10.92939499,2.686006826,-3.348925479,-0.247221,-0.720000029,3.930000067,1.60729
3034,2.589280604,-0.113936549,-12.29877602,-4.06094,-4.400000095,4.300000191,1.59789
838,3.512360742,8.58044217,9.562866434,2.84915,-3.200000048,7.900000095,1.70898
8694,6.259770953,11.16249899,-0.997371967,-2.256,2.559999943,-3.109999895,1.79158
8951,12.25374955,5.129285265,-3.380255602,-3.027,2.109999895,-3.549999952,2.89015
12943,-0.646286803,17.55245929,-0.669276087,-2.0639,-3.160000086,-0.419999987,1.39211
7752,8.962540468,1.984820934,-2.779362393,-0.91425,2.299999952,0.150000006,4.03136
6254,2.717955906,-9.50648728,-8.06547651,-1.33,0.629999995,-1.549999952,2.80842
11045,10.73613521,0.318737794,-2.750317368,1.93875,-0.180000007,1.149999976,1.73105
6185,6.622021923,-2.407010804,10.45703453,1.06,0.289999992,-2.519999981,0.980526
13165,11.1247799,-2.963588793,-1.40769878,-0.985,4.900000095,-1.99000001,1.64026
12596,-3.996779191,21.33904246,-0.172798775,-0.3025,1.779999971,-3.480000019,1.96105
2063,4.295444919,0.490385781,-11.23357597,-2.34821,-5.099999905,0.200000003,3.20789
12210,12.57702934,-1.678300117,-3.364876841,0.0320033,0.330000013,-2.930000067,1.08265
4149,5.809971317,10.55001076,-1.860000113,0.166333,-3.24000001,0.100000001,2.2887
12998,8.767912144,6.248471896,-3.14058429,-0.8902,0.870000005,1.190000057,2.65105
4429,8.990004053,-3.940000273,-0.1200003,-4.615,-1.330000043,5.099999905,3.52223
7513,-0.798530139,-14.32306938,2.53285395,-0.876812,0.460000008,-4.28000021,2.10404
6900,9.94084697,-0.267171877,-2.476647722,-1.66339,-1.889999986,0.159999996,2.66398
11317,9.231665869,-3.296857599,-1.728582302,-2.06979,1.429999948,-1.529999971,2.68543
1093,-9.635728308,-16.10535725,4.546369991,-2.86037,-0.800000012,3.799999952,4.51938
4586,10.18004119,-2.350013913,-0.07000024,5.43485,-1.419999957,-5.860000134,2.80729
2968,3.325185405,-1.313676518,-10.08002173,2.14646,-2.900000095,-3.900000095,2.09934
760,4.999958744,-9.580005903,4.289994445,1.8,-1,4.599999905,2.1
8138,13.71945487,2.611701105,-4.59619002,0.361093,-7.550000191,3.019999981,0.565448
455,-59.42101249,-25.41654435,-8.345933324,-3.859999895,2.910000086,-5.03000021,2.220000029
5620,3.346986751,-8.661490061,-6.337986736,3.37,-7.590000153,11.23999977,5.67737
11256,10.8923225,4.626425573,-3.955564969,-1.83158,0.970000029,0.389999986,1.89623
5321,-6.76095058,10.69400091,14.36148251,-0.67,-5.050000191,6.420000076,3.25632
3843,9.789966206,3.829990255,1.519990648,0.872365,-5.849999905,6.269999981,3.07474
12632,4.01269443,10.51033628,-2.104351638,-1.557,2.279999971,-3.5,4.58789
